Funding Org:Name,Date,DocumentWeight,Amount Awarded,Identifier,Topic
BBC Children in Need,2013,0.0376336233817,99901.0,1,topic5
Birmingham City Council,2015,0.0776815959258,2500.0,2,topic5
Birmingham City Council,2016,0.0730920011805,5300.0,2,topic5
Co-operative Group,2017,0.0361875530001,1106.94,1,topic5
Community Foundation serving Tyne & Wear and Northumberland,2015,0.0439204683992,4876.0,1,topic5
Community Foundation serving Tyne & Wear and Northumberland,2016,0.0810971355153,5000.0,2,topic5
Community Foundation serving Tyne & Wear and Northumberland,2017,0.0893649296506,7000.0,2,topic5
Essex Community Foundation,2017,0.036827092272,1500.0,1,topic5
London Catalyst,2016,0.0439204683992,1000.0,1,topic5
Quartet Community Foundation,2018,0.0371766671161,2930.0,1,topic5
Somerset Community Foundation,2016,0.0477244618687,500.0,1,topic5
Sport England,2011,0.0397609830411,7225.0,1,topic5
Staples Trust,2016,0.047462006378,3500.0,1,topic5
The Big Lottery Fund,2004,0.83541305202,189736.0,21,topic5
The Big Lottery Fund,2005,1.26366489976,144517.0,32,topic5
The Big Lottery Fund,2006,1.35189696838,245124.0,34,topic5
The Big Lottery Fund,2007,0.902794532405,5503961.0,23,topic5
The Big Lottery Fund,2008,1.01100172139,1811811.0,25,topic5
The Big Lottery Fund,2009,0.666664453634,131181.0,17,topic5
The Big Lottery Fund,2010,0.733696829682,191094.0,19,topic5
The Big Lottery Fund,2011,0.650486289672,148022.0,17,topic5
The Big Lottery Fund,2012,1.01110481285,208160.0,26,topic5
The Big Lottery Fund,2013,1.72286887669,367668.0,44,topic5
The Big Lottery Fund,2014,3.56665121933,1415185.33,86,topic5
The Big Lottery Fund,2015,2.56008110594,523617.0,62,topic5
The Big Lottery Fund,2016,1.5522726558,399542.0,39,topic5
The Big Lottery Fund,2017,1.17173912513,286155.0,30,topic5
The Dulverton Trust,2007,0.0439204683992,2000.0,1,topic5
The Robertson Trust,2015,0.0439204683992,8000.0,1,topic5
Three Guineas Trust,2016,0.0439204683992,10000.0,1,topic5
Woodward Charitable Trust,1999,0.0780841537138,6250.0,2,topic5
Woodward Charitable Trust,2000,0.0433074030174,1000.0,1,topic5
Woodward Charitable Trust,2014,0.0368075404193,300.0,1,topic5
Woodward Charitable Trust,2016,0.0439204683992,1000.0,1,topic5
