Date,DocumentWeight,Amount Awarded,Identifier,Topic
1998,0.0,0.0,0,topic0
1999,0.0,0.0,0,topic0
2000,0.0,0.0,0,topic0
2001,0.0,0.0,0,topic0
2002,0.0,0.0,0,topic0
2003,0.0,0.0,0,topic0
2004,20.9555865342,542396.0,445,topic0
2005,25.3758771646,659473.0,538,topic0
2006,0.707340496355,15575.0,15,topic0
2007,0.0,0.0,0,topic0
2008,0.0,0.0,0,topic0
2009,0.0931612554594,8325.0,2,topic0
2010,0.0,0.0,0,topic0
2011,0.0,0.0,0,topic0
2012,0.0,0.0,0,topic0
2013,0.0,0.0,0,topic0
2014,0.0,0.0,0,topic0
2015,0.0,0.0,0,topic0
2016,0.0,0.0,0,topic0
2017,0.0,0.0,0,topic0
2018,0.0,0.0,0,topic0
1998,0.0,0.0,0,topic1
1999,0.0,0.0,0,topic1
2000,0.0,0.0,0,topic1
2001,0.0,0.0,0,topic1
2002,0.0,0.0,0,topic1
2003,0.0,0.0,0,topic1
2004,0.514922485965,864202.0,21,topic1
2005,1.60724550239,4282300.0,64,topic1
2006,2.25921388185,10364964.0,90,topic1
2007,0.669137817588,1734856.0,26,topic1
2008,0.739236178571,7423118.0,29,topic1
2009,1.60561877309,13785567.0,65,topic1
2010,1.20322753877,1049366.0,48,topic1
2011,0.941424930728,10067896.0,37,topic1
2012,0.797466053055,3030397.0,32,topic1
2013,1.22999128355,35039556.98,49,topic1
2014,2.31427857261,14593359.0,76,topic1
2015,1.59399186103,44087204.2,57,topic1
2016,1.56583352634,15919217.0,61,topic1
2017,1.15614468558,7296914.0,46,topic1
2018,0.0,0.0,0,topic1
1998,0.0,0.0,0,topic2
1999,0.0,0.0,0,topic2
2000,0.0,0.0,0,topic2
2001,0.0,0.0,0,topic2
2002,0.0,0.0,0,topic2
2003,0.0,0.0,0,topic2
2004,2.93357979132,14967159.0,101,topic2
2005,0.934368619363,611580.0,32,topic2
2006,2.60068560444,945104.0,87,topic2
2007,1.73574293472,922874.0,59,topic2
2008,2.53063427042,673186.0,84,topic2
2009,1.66380476029,425842.0,56,topic2
2010,1.96010517201,469129.0,65,topic2
2011,2.7607166012,765529.0,93,topic2
2012,2.309181684,588767.0,79,topic2
2013,1.78325293266,404690.23,59,topic2
2014,3.28161586178,1108657.37,99,topic2
2015,1.17130900444,317750.0,38,topic2
2016,0.819949204264,423325.0,26,topic2
2017,0.680441413803,286952.0,22,topic2
2018,0.0,0.0,0,topic2
1998,0.0,0.0,0,topic3
1999,0.0,0.0,0,topic3
2000,0.0,0.0,0,topic3
2001,0.0,0.0,0,topic3
2002,0.0,0.0,0,topic3
2003,0.0,0.0,0,topic3
2004,0.155495743905,49079.0,7,topic3
2005,0.256086935455,627748.0,10,topic3
2006,0.73682166849,199391.0,32,topic3
2007,0.430653681625,139044.0,18,topic3
2008,0.371456291175,302278.0,16,topic3
2009,0.401699716263,561238.0,17,topic3
2010,1.4040181785,3209671.0,56,topic3
2011,1.90697978608,815189.0,80,topic3
2012,2.04771424843,860863.57,85,topic3
2013,2.34100779884,940715.12,94,topic3
2014,7.40027607107,6359257.71,205,topic3
2015,3.45263541574,3089103.69,104,topic3
2016,2.26223557162,3545004.0,84,topic3
2017,1.49281741888,907863.0,52,topic3
2018,0.0,0.0,0,topic3
1998,0.0,0.0,0,topic4
1999,0.0,0.0,0,topic4
2000,0.0,0.0,0,topic4
2001,0.0,0.0,0,topic4
2002,0.0,0.0,0,topic4
2003,0.0,0.0,0,topic4
2004,0.0,0.0,0,topic4
2005,0.0,0.0,0,topic4
2006,0.0,0.0,0,topic4
2007,0.0,0.0,0,topic4
2008,0.0,0.0,0,topic4
2009,0.0,0.0,0,topic4
2010,0.0,0.0,0,topic4
2011,0.0,0.0,0,topic4
2012,0.0,0.0,0,topic4
2013,0.0,0.0,0,topic4
2014,0.0,0.0,0,topic4
2015,0.0,0.0,0,topic4
2016,0.0,0.0,0,topic4
2017,0.0,0.0,0,topic4
2018,0.0,0.0,0,topic4
1998,0.0,0.0,0,topic5
1999,0.0,0.0,0,topic5
2000,0.0,0.0,0,topic5
