Date,DocumentWeight,Amount Awarded,Identifier,Topic
1998,0.0,0.0,0,topic0
1999,0.0,0.0,0,topic0
2000,0.0,0.0,0,topic0
2001,0.0,0.0,0,topic0
2002,0.0,0.0,0,topic0
2003,0.0,0.0,0,topic0
2004,0.0,0.0,0,topic0
2005,0.0,0.0,0,topic0
2006,0.0,0.0,0,topic0
2007,0.0,0.0,0,topic0
2008,0.0,0.0,0,topic0
2009,0.0,0.0,0,topic0
2010,0.0,0.0,0,topic0
2011,0.0,0.0,0,topic0
2012,0.0,0.0,0,topic0
2013,0.0,0.0,0,topic0
2014,0.0,0.0,0,topic0
2015,0.0,0.0,0,topic0
2016,0.0,0.0,0,topic0
2017,0.0,0.0,0,topic0
2018,0.0,0.0,0,topic0
1998,0.0,0.0,0,topic1
1999,0.0,0.0,0,topic1
2000,0.0,0.0,0,topic1
2001,0.0,0.0,0,topic1
2002,0.0,0.0,0,topic1
2003,0.0,0.0,0,topic1
2004,0.0,0.0,0,topic1
2005,0.10627071192,33500.0,3,topic1
2006,0.194047478645,16000.0,6,topic1
2007,0.174161827367,50400.0,5,topic1
2008,0.0258185920919,2200.0,1,topic1
2009,0.145346425136,57000.0,6,topic1
2010,0.180792866205,13300.0,5,topic1
2011,0.0502890789859,4500.0,2,topic1
2012,0.0243408560294,75000.0,1,topic1
2013,0.0306607229984,25000.0,1,topic1
2014,0.066746849637,100000.0,2,topic1
2015,0.0254027146825,90000.0,1,topic1
2016,0.0689324971126,35000.0,2,topic1
2017,0.0433811390109,30000.0,1,topic1
2018,0.0,0.0,0,topic1
1998,0.0,0.0,0,topic2
1999,0.0,0.0,0,topic2
2000,0.0,0.0,0,topic2
2001,0.0,0.0,0,topic2
2002,0.0,0.0,0,topic2
2003,0.0,0.0,0,topic2
2004,0.0,0.0,0,topic2
2005,0.0,0.0,0,topic2
2006,0.0789209257371,50000.0,2,topic2
2007,0.0,0.0,0,topic2
2008,0.123753779429,70900.0,3,topic2
2009,0.0,0.0,0,topic2
2010,0.09011841341,29000.0,3,topic2
2011,0.0,0.0,0,topic2
2012,0.0,0.0,0,topic2
2013,0.0,0.0,0,topic2
2014,0.0,0.0,0,topic2
2015,0.0448328536921,20000.0,1,topic2
2016,0.0,0.0,0,topic2
2017,0.0,0.0,0,topic2
2018,0.0,0.0,0,topic2
1998,0.0,0.0,0,topic3
1999,0.0,0.0,0,topic3
2000,0.0,0.0,0,topic3
2001,0.0,0.0,0,topic3
2002,0.0,0.0,0,topic3
2003,0.0,0.0,0,topic3
2004,0.0,0.0,0,topic3
2005,0.0,0.0,0,topic3
2006,0.0421272260588,30000.0,1,topic3
2007,0.0421272260588,2500.0,1,topic3
2008,0.150070698974,23100.0,4,topic3
2009,0.0,0.0,0,topic3
2010,0.0421272260588,15000.0,1,topic3
2011,0.0,0.0,0,topic3
2012,0.0,0.0,0,topic3
2013,0.0,0.0,0,topic3
2014,0.0421272260588,225000.0,1,topic3
2015,0.0421272260588,30000.0,1,topic3
2016,0.0,0.0,0,topic3
2017,0.0421272260588,22560.0,1,topic3
2018,0.0,0.0,0,topic3
1998,0.0,0.0,0,topic4
1999,0.0,0.0,0,topic4
2000,0.0,0.0,0,topic4
2001,0.0,0.0,0,topic4
2002,0.0,0.0,0,topic4
2003,0.0,0.0,0,topic4
2004,0.0,0.0,0,topic4
2005,0.0,0.0,0,topic4
2006,0.0,0.0,0,topic4
2007,0.0,0.0,0,topic4
2008,0.0,0.0,0,topic4
2009,0.0,0.0,0,topic4
2010,0.0,0.0,0,topic4
2011,0.0,0.0,0,topic4
2012,0.0,0.0,0,topic4
2013,0.0,0.0,0,topic4
2014,0.0,0.0,0,topic4
2015,0.0,0.0,0,topic4
2016,0.0,0.0,0,topic4
2017,0.0,0.0,0,topic4
2018,0.0,0.0,0,topic4
1998,0.0,0.0,0,topic5
1999,0.0,0.0,0,topic5
2000,0.0,0.0,0,topic5
2001,0.0,0.0,0,topic5
2002,0.0,0.0,0,topic5
2003,0.0,0.0,0,topic5
2004,0.0,0.0,0,topic5
2005,0.0,0.0,0,topic5
