Date,DocumentWeight,Amount Awarded,Identifier,Topic
1998,0.0,0.0,0,topic0
1999,0.0,0.0,0,topic0
2000,0.0,0.0,0,topic0
2001,0.0,0.0,0,topic0
2002,0.0,0.0,0,topic0
2003,0.0,0.0,0,topic0
2004,0.0,0.0,0,topic0
2005,0.0,0.0,0,topic0
2006,0.0,0.0,0,topic0
2007,0.0,0.0,0,topic0
2008,0.0,0.0,0,topic0
2009,0.0,0.0,0,topic0
2010,0.0,0.0,0,topic0
2011,0.0,0.0,0,topic0
2012,0.0,0.0,0,topic0
2013,0.0,0.0,0,topic0
2014,0.0,0.0,0,topic0
2015,0.0,0.0,0,topic0
2016,0.0,0.0,0,topic0
2017,0.0,0.0,0,topic0
2018,0.0,0.0,0,topic0
1998,0.0,0.0,0,topic1
1999,0.0,0.0,0,topic1
2000,0.0,0.0,0,topic1
2001,0.0,0.0,0,topic1
2002,0.0,0.0,0,topic1
2003,0.0,0.0,0,topic1
2004,0.0,0.0,0,topic1
2005,0.0,0.0,0,topic1
2006,0.0,0.0,0,topic1
2007,0.0,0.0,0,topic1
2008,0.0,0.0,0,topic1
2009,0.031973950014,10000.0,1,topic1
2010,0.031973950014,10000.0,1,topic1
2011,0.0547316017262,11727.0,2,topic1
2012,0.0466046115885,12200.0,2,topic1
2013,0.0493207083851,10000.0,2,topic1
2014,0.0265248282568,9856.0,1,topic1
2015,0.0298626332005,7248.0,1,topic1
2016,0.0,0.0,0,topic1
2017,0.0265248282568,10000.0,1,topic1
2018,0.0,0.0,0,topic1
1998,0.0,0.0,0,topic2
1999,0.0,0.0,0,topic2
2000,0.0,0.0,0,topic2
2001,0.0,0.0,0,topic2
2002,0.0,0.0,0,topic2
2003,0.0,0.0,0,topic2
2004,0.0,0.0,0,topic2
2005,0.0,0.0,0,topic2
2006,0.0,0.0,0,topic2
2007,0.0,0.0,0,topic2
2008,0.0,0.0,0,topic2
2009,0.0271479522342,12000.0,1,topic2
2010,0.0278306250499,1798.0,1,topic2
2011,0.0556612500998,8225.0,2,topic2
2012,0.109807640571,36034.0,4,topic2
2013,0.0,0.0,0,topic2
2014,0.0278306250499,605.0,1,topic2
2015,0.0,0.0,0,topic2
2016,0.0,0.0,0,topic2
2017,0.0,0.0,0,topic2
2018,0.0,0.0,0,topic2
1998,0.0,0.0,0,topic3
1999,0.0,0.0,0,topic3
2000,0.0,0.0,0,topic3
2001,0.0,0.0,0,topic3
2002,0.0,0.0,0,topic3
2003,0.0,0.0,0,topic3
2004,0.0,0.0,0,topic3
2005,0.0267274869638,11000.0,1,topic3
2006,0.0,0.0,0,topic3
2007,0.022287376951,3550.0,1,topic3
2008,0.0325116360509,4000.0,1,topic3
2009,0.0453881701854,15107.0,2,topic3
2010,0.127783859864,42495.0,5,topic3
2011,0.0907763403708,28979.0,4,topic3
2012,0.113470425464,39714.0,5,topic3
2013,0.0680822552781,19407.0,3,topic3
2014,0.0453881701854,17890.0,2,topic3
2015,0.0,0.0,0,topic3
2016,0.0680822552781,23091.0,3,topic3
2017,0.0226940850927,10000.0,1,topic3
2018,0.0,0.0,0,topic3
1998,0.0,0.0,0,topic4
1999,0.0,0.0,0,topic4
2000,0.0,0.0,0,topic4
2001,0.0,0.0,0,topic4
2002,0.0,0.0,0,topic4
2003,0.0,0.0,0,topic4
2004,0.0,0.0,0,topic4
2005,0.121318088086,13474312.0,3,topic4
2006,0.0,0.0,0,topic4
2007,0.0405220152525,33000.0,1,topic4
2008,0.120655962018,121475.0,3,topic4
2009,3.94621551528,1574813.0,90,topic4
2010,4.34714704042,2679091.0,97,topic4
2011,4.95434847804,4084942.0,114,topic4
2012,5.97070737128,8083226.0,135,topic4
2013,6.84026239326,6247115.0,159,topic4
2014,5.44320533087,5085401.0,129,topic4
2015,4.80534839321,5402243.0,111,topic4
2016,3.1016453926,947229.0,72,topic4
2017,3.71794761618,1456731.0,86,topic4
2018,0.0,0.0,0,topic4
1998,0.0,0.0,0,topic5
1999,0.0,0.0,0,topic5
2000,0.0,0.0,0,topic5
2001,0.0,0.0,0,topic5
2002,0.0,0.0,0,topic5
