Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-blf-0030010805,World Music and Arts Festival,"A project to stage an outdoor, one-day world music and arts festival in a park in Derby. The day will feature performances and workshops from artists and musicians from a wide range of ethnic communities.  Prior to the festival, the group will hold a series of public prepatory workshops in conjunction with local community groups. The grant will include funding for staging, equipment and publicity fees for the festival.",2007-06-19,9691.0,360G-blf,The Big Lottery Fund,0.028626963112
360G-blf-0030033792,There is no project name available for this record,The group will use the award to hold workshops as part of their annual 3 day arts festival. workshops; materials; volunteer expenses.,2004-06-17,4980.0,360G-blf,The Big Lottery Fund,0.0280585724333
360G-blf-0030010301,Haslingden Dance and Arts Festival,"This group community activities group will use an award for a project to set up an event with art, dance and sport workshops for all ages to be performed in a one day street carnival.",2007-07-20,6200.0,360G-blf,The Big Lottery Fund,0.0274504014848
360G-blf-0030028720,York Chinese New Year 06,The group provide an educational arts and music programme in York.  The award will fund a series of kite making workshops and a kite flying event as part of the York Chinese New Year Festival.,2005-12-14,5000.0,360G-blf,The Big Lottery Fund,0.0274163793456
360G-blf-0030011744,The World On Your Doorstep Music/Arts Festival,This project is to hold a music and arts festival in July 2007. The arts displays and dance workshops will reflect the wide range of the communities in the area.,2007-03-28,10000.0,360G-blf,The Big Lottery Fund,0.0273778070951
360G-blf-0031004421,DANCE WITH THE COMMONWEALTH,"The project will deliver a series of weekend music, dance and arts workshops showcaseing national dances from Commonwealth countries; music workshops will provide the chance to learn instruments native to other Commonwealth countries; while the arts workshops will allow participants to design and create costumes. Finally the project will hold a show in the Mitchell theatre with performances of dance and music by participants and artists and celebrating the diversity of the Commonwealth.",2014-02-14,10000.0,360G-blf,The Big Lottery Fund,0.0270487058208
360G-blf-AHF_1_010167224,60th anniversary festival,"Seymour Hill & Conway Community Network group will use an award to hold a programme of events over a week period to commemorate the 60th anniversary of WW2. This will include an exhibition day, creative arts workshops, a visit to WW2 sites, a VE Celebration Day, and a service of remembrance.",2005-07-22,7320.0,360G-blf,The Big Lottery Fund,0.0267038152399
360G-blf-A4E_3_010140675,Folk Dance and music festival,"A Turkish/Kurdish folk dance and music festival will be run for young people, with workshops and a showcase event to celebrate their cultural differences and improve their confidence.",2004-12-21,4795.0,360G-blf,The Big Lottery Fund,0.0266844183923
360G-blf-AHF_1_010167361,Cookery/ Dance and Music/ Hair and Make Up Workshops War time Theme,"A project to commemorate the events leading to the end of WW2 with the provision of a series of wartime workshops, a film of wartime experiences, an exhibition and celebratory event for the benefit of members of this group and the wider community based in Wigmore, Hereford.",2005-07-29,2165.0,360G-blf,The Big Lottery Fund,0.0263365992982
360G-blf-0030021981,Coastival - Outreach Programme,"This group will use an award to run a large scale arts festival in Scarborough. Activities will include outreach talks and art workshops for people of all ages prior to the festival, a lantern parade through Scarborough, music workshops and free music events during the festival.",2008-12-16,9650.0,360G-blf,The Big Lottery Fund,0.026271240762
360G-blf-0030037391,Music Festival,"This group promotes folk music, song and dance by providing events and activities at safe venues suitable for all. The project will provide a 2-day music festival of traditional folk music and dance with performances by professional musicians, singers and dancers. The event will also include traditional dance and music workshops. The award is for professional artists fees.",2005-04-15,5000.0,360G-blf,The Big Lottery Fund,0.0261845395143
360G-blf-0030021039,X-press dance and music workshops and children's arts and crafts workshops.,"A project by this arts group from Lambeth to run a series of workshops in a range of activities including soca dance, keep fit and costume design.",2008-04-22,9650.0,360G-blf,The Big Lottery Fund,0.0260985128884
360G-blf-0031004433,Bridge of Weir Primary Commonwealth Festival,"The project will run a Commonwealth themed programme of workshops in drama, dance, art, music and storytelling and pupils from nursery to primary 7 will be involved . Aboriginal arts and crafts and African drumming workshops, African dance workshops with live Djembe drumming, a whole day drama experience exploring the history and heritage of Scottish sport and the Commonwealth, professional storytelling and dance workshops developing themes of team spirit and cultural identity.",2014-02-14,2005.0,360G-blf,The Big Lottery Fund,0.0260477569349
360G-blf-0030026628,Black History Month Festival Day,"The project is to promote Afro-Caribbean culture by means of a festival day to be held in Colchester during Black History Month. The event will include an art exhibition, music and cookery workshops, dinner and dance.",2005-10-12,1960.0,360G-blf,The Big Lottery Fund,0.0259254063215
360G-blf-AHF_1_010165199,Commemoration Events,"Bradford on Avon Arts Festival Commitee will use an award to  produce a portfolio of work to commemorate the 60th anniversary of WW2, this will include the production of a film focussing on the impact of the war on Bradford on Avon, the creation of a 1940's dance band that will perform wartime dance at a special 'Tea Dance' event, and a commemorative evening of dance, drama, music, poetry and prose at a local Performing Arts School. The activities will be open to the local community.",2005-07-22,17906.0,360G-blf,The Big Lottery Fund,0.0259184369503
360G-blf-0030006769,Gate to Southwell Folk Festival,The award will enable this group to run a new folk festival to augment the existing 'Gate to Southwell' event. Music and dance workshops will increase skills and the festival will promote interest in the cultural heritage of the area.,2007-01-19,9968.0,360G-blf,The Big Lottery Fund,0.0258609261514
360G-blf-0030010586,Summer Music Festival 2007,"Deal festival of music and the arts will hold a two week summer festival in celebration of its 25th anniversary. This year the event will be significantly larger and will integrate all art forms into its programme of events including poets, international artists and local photographers.",2007-04-17,10000.0,360G-blf,The Big Lottery Fund,0.025700508266
