,index,topic0,topic1,topic10,topic11,topic12,topic13,topic14,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
0,1997-09-30,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1,1997-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1998-03-31,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0
3,1998-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1998-09-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,1998-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1999-03-31,0,1,0,0,0,5,0,0,0,0,2,0,0,3,0
7,1999-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1999-09-30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9,1999-12-31,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
10,2000-03-31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11,2000-06-30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,2000-09-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,2000-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2001-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2001-06-30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
16,2001-09-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2001-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2002-03-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,2002-06-30,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
20,2002-09-30,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0
21,2002-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2003-03-31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23,2003-06-30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,2003-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2003-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2004-03-31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,2004-06-30,63,2,9,14,3,1,25,14,0,0,6,4,3,2,1
28,2004-09-30,46,1,9,5,7,1,13,10,0,0,11,4,2,0,1
29,2004-12-31,178,4,2,8,6,2,13,11,0,0,4,7,1,1,2
30,2005-03-31,226,8,13,8,10,3,26,5,3,0,7,4,2,4,1
31,2005-06-30,130,7,6,13,7,6,67,3,0,0,7,4,2,1,3
32,2005-09-30,42,9,10,12,5,7,61,2,1,0,12,5,4,1,5
33,2005-12-31,29,12,17,25,8,2,19,4,1,0,6,5,5,4,4
34,2006-03-31,11,7,29,20,16,9,42,16,2,0,15,8,23,2,4
35,2006-06-30,0,8,11,17,6,5,17,10,2,0,7,5,4,0,2
36,2006-09-30,0,8,6,12,3,2,15,9,1,0,8,7,13,1,4
37,2006-12-31,0,17,8,10,6,12,8,11,3,0,4,13,14,1,2
38,2007-03-31,0,6,4,15,8,7,14,5,2,0,6,10,7,2,5
39,2007-06-30,0,6,3,14,4,6,26,7,2,0,13,7,15,5,4
40,2007-09-30,0,6,11,19,4,6,17,7,2,0,3,8,14,2,4
41,2007-12-31,0,5,8,11,6,11,6,5,1,0,2,6,38,1,4
42,2008-03-31,0,6,14,2,5,3,13,20,2,0,3,8,7,5,2
43,2008-06-30,0,2,9,7,4,1,17,6,4,0,6,5,8,3,2
44,2008-09-30,0,3,5,12,6,4,12,8,0,0,7,8,11,1,2
45,2008-12-31,0,4,11,10,4,2,8,15,1,0,9,7,9,1,1
46,2009-03-31,0,4,12,7,1,4,11,13,2,0,8,8,13,4,4
47,2009-06-30,0,7,8,1,5,2,2,5,0,10,3,4,8,5,2
48,2009-09-30,0,9,5,1,2,6,4,6,0,17,2,1,10,5,2
49,2009-12-31,0,4,9,3,6,3,2,3,4,27,4,4,8,3,0
50,2010-03-31,0,4,10,3,6,8,1,4,8,13,5,8,18,8,2
51,2010-06-30,0,3,15,4,8,6,2,5,7,16,3,5,11,9,3
52,2010-09-30,0,11,8,5,4,3,1,12,5,27,2,6,6,11,7
53,2010-12-31,0,8,5,5,3,4,0,14,8,13,9,3,6,34,6
54,2011-03-31,0,6,6,6,5,2,0,17,13,22,3,4,2,12,5
55,2011-06-30,0,9,11,3,10,3,0,9,6,20,3,3,6,16,7
56,2011-09-30,0,4,7,5,2,5,1,10,6,11,5,6,6,15,5
57,2011-12-31,0,5,9,5,5,5,2,9,3,11,7,8,5,8,5
58,2012-03-31,0,7,6,4,7,10,0,13,8,23,7,6,9,9,7
